country;property_name;property_category;country_link;property_link
Argentina;Ischigualasto / Talampaya Natural Parks;natural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/966
Argentina;Jesuit Block and Estancias of Córdoba;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/995
Argentina;Quebrada de Humahuaca;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/1116
Argentina;Qhapaq Ñan, Andean Road System;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/1459
Argentina;The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/1321
Argentina;Los Alerces National Park;natural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/1526
Argentina;ESMA Museum and Site of Memory – Former Clandestine Center of Detention, Torture and Extermination;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/1681
Armenia;Monasteries of Haghpat and Sanahin;cultural;https://whc.unesco.org/en/statesparties/am;https://whc.unesco.org/en/list/777
Armenia;Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots;cultural;https://whc.unesco.org/en/statesparties/am;https://whc.unesco.org/en/list/1011
Armenia;Monastery of Geghard and the Upper Azat Valley;cultural;https://whc.unesco.org/en/statesparties/am;https://whc.unesco.org/en/list/960
Australia;Great Barrier Reef;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/154
Australia;Kakadu National Park;mixed;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/147
Australia;Willandra Lakes Region;mixed;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/167
Australia;Lord Howe Island Group;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/186
Australia;Tasmanian Wilderness;mixed;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/181
Australia;Gondwana Rainforests of Australia;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/368
Australia;Uluru-Kata Tjuta National Park;mixed;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/447
Australia;Wet Tropics of Queensland;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/486
Australia;Shark Bay, Western Australia;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/578
Australia;K’gari (Fraser Island) ;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/630
Australia;Australian Fossil Mammal Sites (Riversleigh / Naracoorte);natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/698
Australia;Heard and McDonald Islands;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/577
Australia;Macquarie Island;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/629
Australia;Greater Blue Mountains Area;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/917
Australia;Purnululu National Park;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/1094
Australia;Royal Exhibition Building and Carlton Gardens;cultural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/1131
Australia;Sydney Opera House;cultural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/166
Australia;Australian Convict Sites;cultural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/1306
Australia;Ningaloo Coast;natural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/1369
Australia;Budj Bim Cultural Landscape;cultural;https://whc.unesco.org/en/statesparties/au;https://whc.unesco.org/en/list/1577
Austria;Historic Centre of the City of Salzburg;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/784
Austria;Palace and Gardens of Schönbrunn;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/786
Austria;Hallstatt-Dachstein / Salzkammergut Cultural Landscape;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/806
Austria;Semmering Railway;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/785
Austria;City of Graz – Historic Centre and Schloss Eggenberg;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/931
Austria;Wachau Cultural Landscape;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/970
Austria;Historic Centre of Vienna;cultural_danger;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/1033
Austria;Fertö / Neusiedlersee Cultural Landscape;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/772
Austria;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;natural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/1133
Austria;Prehistoric Pile Dwellings around the Alps;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/1363
Austria;Frontiers of the Roman Empire – The Danube Limes (Western Segment);cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/1608
Austria;The Great Spa Towns of Europe;cultural;https://whc.unesco.org/en/statesparties/at;https://whc.unesco.org/en/list/1613
Azerbaijan;Walled City of Baku with the Shirvanshah's Palace and Maiden Tower;cultural;https://whc.unesco.org/en/statesparties/az;https://whc.unesco.org/en/list/958
Azerbaijan;Gobustan Rock Art Cultural Landscape;cultural;https://whc.unesco.org/en/statesparties/az;https://whc.unesco.org/en/list/1076
Azerbaijan;Historic Centre of Sheki with the Khan’s Palace;cultural;https://whc.unesco.org/en/statesparties/az;https://whc.unesco.org/en/list/1549
Azerbaijan;Hyrcanian Forests;natural;https://whc.unesco.org/en/statesparties/az;https://whc.unesco.org/en/list/1584
Azerbaijan;Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route;cultural;https://whc.unesco.org/en/statesparties/az;https://whc.unesco.org/en/list/1696
Bahrain;Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun;cultural;https://whc.unesco.org/en/statesparties/bh;https://whc.unesco.org/en/list/1192
Bahrain;Pearling, Testimony of an Island Economy;cultural;https://whc.unesco.org/en/statesparties/bh;https://whc.unesco.org/en/list/1364
Bahrain;Dilmun Burial Mounds;cultural;https://whc.unesco.org/en/statesparties/bh;https://whc.unesco.org/en/list/1542
Bangladesh;Historic Mosque City of Bagerhat;cultural;https://whc.unesco.org/en/statesparties/bd;https://whc.unesco.org/en/list/321
Bangladesh;Ruins of the Buddhist Vihara at Paharpur;cultural;https://whc.unesco.org/en/statesparties/bd;https://whc.unesco.org/en/list/322
Bangladesh;The Sundarbans;natural;https://whc.unesco.org/en/statesparties/bd;https://whc.unesco.org/en/list/798
Barbados;Historic Bridgetown and its Garrison;cultural;https://whc.unesco.org/en/statesparties/bb;https://whc.unesco.org/en/list/1376
Belarus;Białowieża Forest;natural;https://whc.unesco.org/en/statesparties/by;https://whc.unesco.org/en/list/33
Belarus;Mir Castle Complex;cultural;https://whc.unesco.org/en/statesparties/by;https://whc.unesco.org/en/list/625
Belarus;Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh;cultural;https://whc.unesco.org/en/statesparties/by;https://whc.unesco.org/en/list/1196
Belarus;Struve Geodetic Arc;cultural;https://whc.unesco.org/en/statesparties/by;https://whc.unesco.org/en/list/1187
Belgium;Flemish Béguinages;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/855
Belgium;La Grand-Place, Brussels;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/857
Belgium;The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut);cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/856
Belgium;Belfries of Belgium and France;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/943
Belgium;Historic Centre of Brugge;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/996
Belgium;Major Town Houses of the Architect Victor Horta (Brussels);cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1005
Belgium;Neolithic Flint Mines at Spiennes (Mons);cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1006
Belgium;Notre-Dame Cathedral in Tournai;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1009
Belgium;Plantin-Moretus House-Workshops-Museum Complex;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1185
Belgium;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;natural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1133
Belgium;Stoclet House;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1298
Belgium;Major Mining Sites of Wallonia;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1344
Belgium;The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1321
Belgium;Colonies of Benevolence;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1555
Belgium;The Great Spa Towns of Europe;cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1613
Belgium;Funerary and memory sites of the First World War (Western Front);cultural;https://whc.unesco.org/en/statesparties/be;https://whc.unesco.org/en/list/1567
Belize;Belize Barrier Reef Reserve System;natural;https://whc.unesco.org/en/statesparties/bz;https://whc.unesco.org/en/list/764
Benin;Royal Palaces of Abomey;cultural;https://whc.unesco.org/en/statesparties/bj;https://whc.unesco.org/en/list/323
Benin;W-Arly-Pendjari Complex;natural;https://whc.unesco.org/en/statesparties/bj;https://whc.unesco.org/en/list/749
Benin;Koutammakou, the Land of the Batammariba;cultural;https://whc.unesco.org/en/statesparties/bj;https://whc.unesco.org/en/list/1140
Bolivia (Plurinational State of);City of Potosí;cultural_danger;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/420
Bolivia (Plurinational State of);Jesuit Missions of the Chiquitos;cultural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/529
Bolivia (Plurinational State of);Historic City of Sucre;cultural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/566
Bolivia (Plurinational State of);Fuerte de Samaipata;cultural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/883
Bolivia (Plurinational State of);Noel Kempff Mercado National Park;natural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/967
Bolivia (Plurinational State of);Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture;cultural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/567
Bolivia (Plurinational State of);Qhapaq Ñan, Andean Road System;cultural;https://whc.unesco.org/en/statesparties/bo;https://whc.unesco.org/en/list/1459
Bosnia and Herzegovina;Old Bridge Area of the Old City of Mostar;cultural;https://whc.unesco.org/en/statesparties/ba;https://whc.unesco.org/en/list/946
Bosnia and Herzegovina;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;natural;https://whc.unesco.org/en/statesparties/ba;https://whc.unesco.org/en/list/1133
Bosnia and Herzegovina;Mehmed Paša Sokolović Bridge in Višegrad;cultural;https://whc.unesco.org/en/statesparties/ba;https://whc.unesco.org/en/list/1260
Bosnia and Herzegovina;Stećci Medieval Tombstone Graveyards;cultural;https://whc.unesco.org/en/statesparties/ba;https://whc.unesco.org/en/list/1504
Botswana;Tsodilo;cultural;https://whc.unesco.org/en/statesparties/bw;https://whc.unesco.org/en/list/1021
Botswana;Okavango Delta;natural;https://whc.unesco.org/en/statesparties/bw;https://whc.unesco.org/en/list/1432
Brazil;Historic Town of Ouro Preto;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/124
Brazil;Historic Centre of the Town of Olinda;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/189
Brazil;Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil);cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/275
Brazil;Historic Centre of Salvador de Bahia;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/309
Brazil;Sanctuary of Bom Jesus do Congonhas;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/334
Brazil;Iguaçu National Park;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/355
Brazil;Brasilia;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/445
Brazil;Serra da Capivara National Park;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/606
Brazil;Historic Centre of São Luís;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/821
Brazil;Atlantic Forest South-East Reserves;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/893
Brazil;Discovery Coast Atlantic Forest Reserves;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/892
Brazil;Historic Centre of the Town of Diamantina;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/890
Brazil;Central Amazon Conservation Complex;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/998
Brazil;Pantanal Conservation Area;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/999
Brazil;Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1000
Brazil;Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks;natural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1035
Brazil;Historic Centre of the Town of Goiás;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/993
Brazil;São Francisco Square in the Town of São Cristóvão;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1272
Brazil;Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1100
Brazil;Pampulha Modern Ensemble;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1493
Brazil;Valongo Wharf Archaeological Site;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1548
Brazil;Paraty and Ilha Grande – Culture and Biodiversity;mixed;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1308
Brazil;Sítio Roberto Burle Marx;cultural;https://whc.unesco.org/en/statesparties/br;https://whc.unesco.org/en/list/1620
Bulgaria;Boyana Church;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/42
Bulgaria;Madara Rider;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/43
Bulgaria;Rock-Hewn Churches of Ivanovo;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/45
Bulgaria;Thracian Tomb of Kazanlak;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/44
Bulgaria;Ancient City of Nessebar;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/217
Bulgaria;Pirin National Park;natural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/225
Bulgaria;Rila Monastery;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/216
Bulgaria;Srebarna Nature Reserve;natural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/219
Bulgaria;Thracian Tomb of Sveshtari;cultural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/359
Bulgaria;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;natural;https://whc.unesco.org/en/statesparties/bg;https://whc.unesco.org/en/list/1133
Burkina Faso;W-Arly-Pendjari Complex;natural;https://whc.unesco.org/en/statesparties/bf;https://whc.unesco.org/en/list/749
Burkina Faso;Ruins of Loropéni;cultural;https://whc.unesco.org/en/statesparties/bf;https://whc.unesco.org/en/list/1225
Burkina Faso;Ancient Ferrous Metallurgy Sites of Burkina Faso;cultural;https://whc.unesco.org/en/statesparties/bf;https://whc.unesco.org/en/list/1602
Cabo Verde;Cidade Velha, Historic Centre of Ribeira Grande;cultural;https://whc.unesco.org/en/statesparties/cv;https://whc.unesco.org/en/list/1310
Cambodia;Angkor;cultural;https://whc.unesco.org/en/statesparties/kh;https://whc.unesco.org/en/list/668
Cambodia;Temple of Preah Vihear;cultural;https://whc.unesco.org/en/statesparties/kh;https://whc.unesco.org/en/list/1224
Cambodia;Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura;cultural;https://whc.unesco.org/en/statesparties/kh;https://whc.unesco.org/en/list/1532
Cambodia;Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar;cultural;https://whc.unesco.org/en/statesparties/kh;https://whc.unesco.org/en/list/1667
Cameroon;Dja Faunal Reserve;natural;https://whc.unesco.org/en/statesparties/cm;https://whc.unesco.org/en/list/407
Cameroon;Sangha Trinational;natural;https://whc.unesco.org/en/statesparties/cm;https://whc.unesco.org/en/list/1380
Canada;L’Anse aux Meadows National Historic Site;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/4
Canada;Nahanni National Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/24
Canada;Dinosaur Provincial Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/71
Canada;Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/72
Canada;Head-Smashed-In Buffalo Jump;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/158
Canada;SGang Gwaay;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/157
Canada;Wood Buffalo National Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/256
Canada;Canadian Rocky Mountain Parks;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/304
Canada;Historic District of Old Québec;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/300
Canada;Gros Morne National Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/419
Canada;Old Town Lunenburg;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/741
Canada;Waterton Glacier International Peace Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/354
Canada;Miguasha National Park;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/686
Canada;Rideau Canal;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1221
Canada;Joggins Fossil Cliffs;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1285
Canada;Landscape of Grand Pré;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1404
Canada;Red Bay Basque Whaling Station;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1412
Canada;Mistaken Point;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1497
Canada;Pimachiowin Aki;mixed;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1415
Canada;Writing-on-Stone / Áísínai’pi;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1597
Canada;Anticosti;natural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1686
Canada;Tr’ondëk-Klondike;cultural;https://whc.unesco.org/en/statesparties/ca;https://whc.unesco.org/en/list/1564
Central African Republic;Manovo-Gounda St Floris National Park;natural_danger;https://whc.unesco.org/en/statesparties/cf;https://whc.unesco.org/en/list/475
Central African Republic;Sangha Trinational;natural;https://whc.unesco.org/en/statesparties/cf;https://whc.unesco.org/en/list/1380
Chad;Lakes of Ounianga;natural;https://whc.unesco.org/en/statesparties/td;https://whc.unesco.org/en/list/1400
Chad;Ennedi Massif: Natural and Cultural Landscape;mixed;https://whc.unesco.org/en/statesparties/td;https://whc.unesco.org/en/list/1475
Chile;Rapa Nui National Park;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/715
Chile;Churches of Chiloé;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/971
Chile;Historic Quarter of the Seaport City of Valparaíso;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/959
Chile;Humberstone and Santa Laura Saltpeter Works;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/1178
Chile;Sewell Mining Town;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/1214
Chile;Qhapaq Ñan, Andean Road System;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/1459
Chile;Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region;cultural;https://whc.unesco.org/en/statesparties/cl;https://whc.unesco.org/en/list/1634
China;Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/439
China;Mausoleum of the First Qin Emperor;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/441
China;Mogao Caves;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/440
China;Mount Taishan;mixed;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/437
China;Peking Man Site at Zhoukoudian;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/449
China;The Great Wall;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/438
China;Mount Huangshan;mixed;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/547
China;Huanglong Scenic and Historic Interest Area;natural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/638
China;Jiuzhaigou Valley Scenic and Historic Interest Area;natural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/637
China;Wulingyuan Scenic and Historic Interest Area;natural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/640
China;Ancient Building Complex in the Wudang Mountains;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/705
China;Historic Ensemble of the Potala Palace, Lhasa;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/707
China;Mountain Resort and its Outlying Temples, Chengde;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/703
China;Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/704
China;Lushan National Park;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/778
China;Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area;mixed;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/779
China;Ancient City of Ping Yao;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/812
China;Classical Gardens of Suzhou;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/813
China;Old Town of Lijiang;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/811
China;Summer Palace, an Imperial Garden in Beijing;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/880
China;Temple of Heaven: an Imperial Sacrificial Altar in Beijing;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/881
China;Dazu Rock Carvings;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/912
China;Mount Wuyi;mixed;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/911
China;Ancient Villages in Southern Anhui – Xidi and Hongcun;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/1002
China;Imperial Tombs of the Ming and Qing Dynasties;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/1004
China;Longmen Grottoes;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/1003
China;Mount Qingcheng and the Dujiangyan Irrigation System;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/1001
China;Yungang Grottoes;cultural;https://whc.unesco.org/en/statesparties/cn;https://whc.unesco.org/en/list/1039
